,City_Name,Lat,Lon,Max_Temp,Humidity,Clouds,Wind_Speed,Country,Date
310,Lincoln,40.8,-96.67,93.99,41,1,12.75,US,1598572727
311,Smithers,54.78,-127.17,59.0,67,90,3.36,CA,1598572727
312,Xingyi,24.19,102.82,63.48,82,88,2.62,CN,1598572727
313,Port Lincoln,-34.73,135.87,56.26,77,1,6.6,AU,1598572728
314,Vila do Maio,15.13,-23.22,80.6,83,75,3.36,CV,1598572728
315,Poysdorf,48.67,16.63,57.99,84,14,1.7,AT,1598572728
316,Simpang,-1.27,104.08,73.62,84,73,4.25,ID,1598572728
317,San Isidro,-12.12,-77.05,60.8,82,90,6.93,PE,1598572728
318,Wewak,-3.55,143.63,83.46,74,10,7.09,PG,1598572728
319,Novo Cruzeiro,-17.47,-41.88,60.04,87,19,3.94,BR,1598572728
320,Tranås,58.04,14.98,50.0,87,87,1.36,SE,1598572729
321,Vrangel',42.73,133.08,73.08,90,94,6.96,RU,1598572729
322,Aloleng,16.13,119.78,83.93,77,70,10.65,PH,1598572729
323,Nantucket,41.28,-70.1,66.2,88,75,4.7,US,1598572685
324,Lufilufi,-13.87,-171.6,82.4,83,75,13.87,WS,1598572729
325,Havøysund,71.0,24.66,42.8,81,75,28.86,NO,1598572518
326,Tougue,11.47,-11.6,68.0,94,69,2.19,GN,1598572729
327,St. George's,12.06,-61.75,84.2,83,20,11.41,GD,1598572730
328,Huarmey,-10.07,-78.15,62.46,83,11,9.42,PE,1598572538
329,Yumen,40.28,97.2,59.63,30,64,11.16,CN,1598572730
330,Saint Paul Harbor,57.79,-152.41,55.4,76,90,9.17,US,1598572514
331,Suez,29.97,32.53,73.22,75,0,8.9,EG,1598572730
332,Bereda,43.27,-7.54,64.99,100,63,10.0,ES,1598572731
333,Lahijan,37.21,50.0,66.2,100,0,2.21,IR,1598572731
334,Nioro,13.35,-15.75,75.38,95,100,6.24,GM,1598572731
335,Rāmkola,26.9,83.84,78.17,86,36,10.4,IN,1598572731
336,Vágur,61.47,-6.81,50.23,87,48,5.55,FO,1598572731
337,Nesebar,42.78,27.73,72.0,73,13,4.7,BG,1598572731
338,Estelle,29.85,-90.11,81.0,88,75,10.29,US,1598572629
339,Gardabani,41.46,45.09,66.2,72,0,5.82,GE,1598572732
340,Orlik,52.52,99.83,46.56,74,79,1.16,RU,1598572732
341,Bucerías,20.75,-105.33,86.0,74,90,4.7,MX,1598572600
342,Dhrol,22.57,70.42,80.01,10,93,10.85,IN,1598572732
343,Salto,-31.38,-57.97,62.01,93,99,7.0,UY,1598572436
344,Sémbé,1.65,14.58,70.41,92,100,2.17,CG,1598572732
345,Adrar,20.5,-10.07,94.53,28,20,5.79,MR,1598572732
346,Hachinohe,40.5,141.5,78.8,88,40,4.7,JP,1598572733
347,Meulaboh,4.14,96.13,76.33,87,100,3.91,ID,1598572733
348,Cuyamel,15.67,-88.2,87.8,66,40,6.93,HN,1598572733
349,Thunder Bay,48.4,-89.32,75.2,44,75,5.82,CA,1598572699
350,Sidi Ali,36.1,0.42,72.43,56,0,0.85,DZ,1598572733
351,Rasrā,25.85,83.85,78.8,87,60,10.8,IN,1598572734
352,Kalmunai,7.42,81.82,78.44,78,57,4.76,LK,1598572734
353,Itoman,26.12,127.67,82.4,88,75,6.93,JP,1598572734
354,Mount Gambier,-37.83,140.77,46.4,93,0,5.82,AU,1598572734
355,Saint-Augustin,51.23,-58.65,50.7,86,95,10.49,CA,1598572734
356,Kawalu,-7.38,108.21,71.67,87,69,0.58,ID,1598572734
357,Alofi,-19.06,-169.92,80.6,54,40,14.99,NU,1598572504
